"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2021","4,335.68","4,371.83","4,371.83","4,293.37","","-0.83%"
"07/29/2021","4,371.83","4,286.11","4,378.04","4,286.11","","2.00%"
"07/28/2021","4,286.11","4,265.74","4,306.46","4,191.84","","0.48%"
"07/27/2021","4,265.74","4,425.53","4,447.21","4,265.49","","-3.61%"
"07/26/2021","4,425.53","4,570.95","4,570.95","4,363.31","","-3.18%"
"07/23/2021","4,570.95","4,633.26","4,633.26","4,561.22","","-1.34%"
"07/22/2021","4,633.26","4,628.84","4,653.39","4,618.48","","0.10%"
"07/21/2021","4,628.84","4,591.94","4,641.18","4,591.94","","0.80%"
"07/20/2021","4,591.94","4,598.76","4,598.76","4,554.82","","-0.15%"
"07/19/2021","4,598.76","4,585.06","4,604.69","4,541.48","","0.30%"
"07/16/2021","4,585.06","4,646.35","4,646.35","4,581.40","","-1.32%"
"07/15/2021","4,646.35","4,580.03","4,648.51","4,565.30","","1.45%"
"07/14/2021","4,580.03","4,633.42","4,633.42","4,570.45","","-1.15%"
"07/13/2021","4,633.42","4,621.74","4,645.38","4,606.78","","0.25%"
"07/12/2021","4,621.74","4,557.34","4,647.30","4,557.34","","1.41%"
"07/09/2021","4,557.34","4,573.24","4,573.24","4,495.10","","-0.35%"
"07/08/2021","4,573.24","4,618.46","4,629.94","4,564.85","","-0.98%"
"07/07/2021","4,618.46","4,558.48","4,628.67","4,525.78","","1.32%"
"07/06/2021","4,558.48","4,562.50","4,573.69","4,507.95","","-0.09%"
"07/05/2021","4,562.50","4,558.30","4,573.59","4,528.95","","0.09%"
"07/02/2021","4,558.30","4,691.51","4,691.51","4,552.19","","-2.84%"
"07/01/2021","4,691.51","4,682.24","4,711.58","4,650.60","","0.20%"
"06/30/2021","4,682.24","4,648.60","4,688.38","4,644.13","","0.72%"
"06/29/2021","4,648.60","4,697.94","4,700.66","4,642.80","","-1.05%"
"06/28/2021","4,697.94","4,680.43","4,705.17","4,673.81","","0.37%"
"06/25/2021","4,680.43","4,606.52","4,691.19","4,606.52","","1.60%"
"06/24/2021","4,606.52","4,605.53","4,615.23","4,576.98","","0.02%"
"06/23/2021","4,605.53","4,578.75","4,623.93","4,569.75","","0.58%"
"06/22/2021","4,578.75","4,544.98","4,580.52","4,541.49","","0.74%"
"06/21/2021","4,544.98","4,556.02","4,574.67","4,516.29","","-0.24%"
"06/18/2021","4,556.02","4,552.29","4,576.68","4,519.59","","0.08%"
"06/17/2021","4,552.29","4,534.29","4,573.98","4,527.92","","0.40%"
"06/16/2021","4,534.29","4,617.40","4,617.40","4,529.70","","-1.80%"
"06/15/2021","4,617.40","4,675.13","4,677.47","4,592.13","","-1.23%"
"06/11/2021","4,675.13","4,705.82","4,713.26","4,656.54","","-0.65%"
"06/10/2021","4,705.82","4,664.84","4,730.14","4,659.47","","0.88%"
"06/09/2021","4,664.84","4,657.74","4,679.87","4,642.13","","0.15%"
"06/08/2021","4,657.74","4,698.93","4,737.50","4,628.05","","-0.88%"
"06/07/2021","4,698.93","4,710.84","4,712.36","4,667.44","","-0.25%"
"06/04/2021","4,710.84","4,683.82","4,756.70","4,653.49","","0.58%"
"06/03/2021","4,683.82","4,718.06","4,736.39","4,683.20","","-0.73%"
"06/02/2021","4,718.06","4,761.07","4,772.79","4,696.55","","-0.90%"
"06/01/2021","4,761.07","4,750.42","4,762.77","4,693.83","","0.22%"
"05/31/2021","4,750.42","4,733.29","4,750.52","4,701.71","","0.36%"
"05/28/2021","4,733.29","4,744.79","4,771.71","4,706.13","","-0.24%"
"05/27/2021","4,744.79","4,726.29","4,779.84","4,695.69","","0.39%"
"05/26/2021","4,726.29","4,727.80","4,748.47","4,714.97","","-0.03%"
"05/25/2021","4,727.80","4,586.70","4,732.44","4,586.70","","3.08%"
"05/24/2021","4,586.70","4,568.67","4,586.70","4,529.07","","0.39%"
"05/21/2021","4,568.67","4,610.78","4,640.42","4,557.65","","-0.91%"
"05/20/2021","4,610.78","4,603.60","4,622.64","4,582.64","","0.16%"
"05/19/2021","4,603.60","4,614.52","4,622.99","4,581.93","","-0.24%"
"05/18/2021","4,614.52","4,613.12","4,629.49","4,585.56","","0.03%"
"05/17/2021","4,613.12","4,535.75","4,631.82","4,535.75","","1.71%"
"05/14/2021","4,535.75","4,440.99","4,537.32","4,424.93","","2.13%"
"05/13/2021","4,440.99","4,491.02","4,491.02","4,425.88","","-1.11%"
"05/12/2021","4,491.02","4,469.71","4,497.09","4,446.05","","0.48%"
"05/11/2021","4,469.71","4,446.96","4,479.93","4,385.65","","0.51%"
"05/10/2021","4,446.96","4,448.69","4,472.90","4,411.44","","-0.04%"
"05/07/2021","4,448.69","4,510.73","4,540.54","4,448.53","","-1.38%"
"05/06/2021","4,510.73","4,566.30","4,572.64","4,482.50","","-1.22%"
"04/30/2021","4,566.30","4,588.51","4,599.60","4,537.18","","-0.48%"
"04/29/2021","4,588.51","4,551.90","4,594.96","4,542.93","","0.80%"
"04/28/2021","4,551.90","4,522.33","4,551.90","4,495.32","","0.65%"
"04/27/2021","4,522.33","4,504.64","4,525.41","4,477.84","","0.39%"
"04/26/2021","4,504.64","4,559.19","4,605.21","4,500.48","","-1.20%"
"04/23/2021","4,559.19","4,509.71","4,570.33","4,507.79","","1.10%"
"04/22/2021","4,509.71","4,518.16","4,537.31","4,486.76","","-0.19%"
"04/21/2021","4,518.16","4,506.60","4,528.77","4,469.81","","0.26%"
"04/20/2021","4,506.60","4,510.34","4,540.80","4,483.85","","-0.08%"
"04/19/2021","4,510.34","4,399.62","4,511.76","4,373.15","","2.52%"
"04/16/2021","4,399.62","4,386.55","4,411.18","4,353.65","","0.30%"
"04/15/2021","4,386.55","4,416.91","4,416.91","4,343.51","","-0.69%"
"04/14/2021","4,416.91","4,372.35","4,422.10","4,372.35","","1.02%"
"04/13/2021","4,372.35","4,374.13","4,421.83","4,358.92","","-0.04%"
"04/12/2021","4,374.13","4,447.80","4,461.72","4,360.15","","-1.66%"
"04/09/2021","4,447.80","4,514.25","4,514.25","4,434.59","","-1.47%"
"04/08/2021","4,514.25","4,505.45","4,528.34","4,466.29","","0.20%"
"04/07/2021","4,505.45","4,542.39","4,543.60","4,468.31","","-0.81%"
"04/06/2021","4,542.39","4,564.53","4,582.44","4,528.45","","-0.49%"
"04/02/2021","4,564.53","4,519.99","4,572.66","4,519.99","","0.99%"
"04/01/2021","4,519.99","4,462.74","4,524.21","4,462.74","","1.28%"
"03/31/2021","4,462.74","4,503.82","4,503.82","4,430.72","","-0.91%"
"03/30/2021","4,503.82","4,453.22","4,510.61","4,441.70","","1.14%"
"03/29/2021","4,453.22","4,445.25","4,487.66","4,417.35","","0.18%"
"03/26/2021","4,445.25","4,342.14","4,456.35","4,342.14","","2.37%"
"03/25/2021","4,342.14","4,340.87","4,360.72","4,297.82","","0.03%"
"03/24/2021","4,340.87","4,415.65","4,428.98","4,331.92","","-1.69%"
"03/23/2021","4,415.65","4,462.44","4,469.32","4,379.78","","-1.05%"
"03/22/2021","4,462.44","4,418.92","4,480.30","4,411.21","","0.98%"
"03/19/2021","4,418.92","4,544.26","4,544.26","4,393.85","","-2.76%"
"03/18/2021","4,544.26","4,503.00","4,559.63","4,503.00","","0.92%"
"03/17/2021","4,503.00","4,480.27","4,522.79","4,423.20","","0.51%"
"03/16/2021","4,480.27","4,437.15","4,485.59","4,417.91","","0.97%"
"03/15/2021","4,437.15","4,543.14","4,543.14","4,396.97","","-2.33%"
"03/12/2021","4,543.14","4,521.75","4,547.51","4,487.86","","0.47%"
"03/11/2021","4,521.75","4,409.22","4,534.43","4,409.22","","2.55%"
"03/10/2021","4,409.22","4,371.31","4,454.21","4,371.31","","0.87%"
"03/09/2021","4,371.31","4,465.34","4,482.10","4,322.71","","-2.11%"
"03/08/2021","4,465.34","4,635.42","4,690.32","4,464.33","","-3.67%"
"03/05/2021","4,635.42","4,655.59","4,675.16","4,557.66","","-0.43%"
"03/04/2021","4,655.59","4,817.05","4,817.05","4,632.02","","-3.35%"
"03/03/2021","4,817.05","4,728.62","4,817.67","4,698.08","","1.87%"
"03/02/2021","4,728.62","4,793.52","4,825.23","4,688.28","","-1.35%"
"03/01/2021","4,793.52","4,714.58","4,796.34","4,714.58","","1.67%"
"02/26/2021","4,714.58","4,833.41","4,833.41","4,694.75","","-2.46%"
"02/25/2021","4,833.41","4,810.36","4,887.85","4,810.36","","0.48%"
"02/24/2021","4,810.36","4,950.38","4,967.89","4,758.44","","-2.83%"
"02/23/2021","4,950.38","4,964.70","5,005.99","4,912.91","","-0.29%"
"02/22/2021","4,964.70","5,130.18","5,130.18","4,964.70","","-3.23%"
"02/19/2021","5,130.18","5,134.90","5,138.96","5,030.06","","-0.09%"
"02/18/2021","5,134.90","5,174.88","5,284.57","5,112.69","","-0.77%"
"02/10/2021","5,174.88","5,066.67","5,189.67","5,066.67","","2.14%"
"02/09/2021","5,066.67","4,960.78","5,066.71","4,950.53","","2.13%"
"02/08/2021","4,960.78","4,879.05","4,967.32","4,871.38","","1.68%"
"02/05/2021","4,879.05","4,872.01","4,939.74","4,872.01","","0.14%"
"02/04/2021","4,872.01","4,878.13","4,904.50","4,816.37","","-0.13%"
"02/03/2021","4,878.13","4,878.23","4,917.18","4,860.08","","0.00%"
"02/02/2021","4,878.23","4,799.89","4,880.29","4,787.92","","1.63%"
"02/01/2021","4,799.89","4,741.54","4,802.71","4,730.29","","1.23%"
"01/29/2021","4,741.54","4,767.93","4,817.98","4,681.67","","-0.55%"
"01/28/2021","4,767.93","4,904.18","4,904.18","4,753.47","","-2.78%"
